ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Name_RU
jogo,Jogo,,7.94,-2.56,jogo1242,,джого
kakabe,Kakabe,,9.5167,-13.7,kaka1265,kke,какабе
loko,Loko,,8.4845,-13.2345,loko1255,lok,локо
mandinka,Mandinka,,13.0153,-15.3177,mand1436,mnk,мандинка
mano,Mano,,6.75,-8.75,mann1248,mev,мано
mwan,Mwan,,7.87533,-5.94577,mwan1250,moa,муан
soninke,Soninke,,12.65,-8,soni1259,snk,сонинке
susu,Susu,,10.4046,-13.3628,susu1250,sus,сусу
tura,Tura,,7.76747,-7.33105,tour1242,neb,тура
wan,Wan,,7.88773,-5.82092,wann1242,wan,уан
yaoure,Yaouré,,6.95282,-5.57851,yaou1238,yre,яурэ
mamluk_kipchak,Mamluk-Kipchak,,51.2333,51.3666,,,мамлюкско-кыпчакский
pecheneg,Pecheneg,,46.4075,29.6191,pech1242,xpc,печенежский
urum,Urum,,47.0102,36.7822,urum1249,uum,урумский
fuyu_kyrgyz,Fuyu Kyrgyz,,47.8,124.2,,,фуюйских кыргызов
khalaj,Khalaj,,34.3751,50.3063,turk1303,klj,халаджский
khorasani_turkic,Khorasani Turkic,,36.6596,57.854,khor1269,kmz,хорасано-тюркский
yurt_tatar,Yurt Tatar,,46.3943,48.3288,yurt1234,,юртовских татар
jurchen,Jurchen,,33.0071,114.3624,jurc1239,juc,чжурчжэньский
tamil,Tamil,,10.520219,78.825989,tami1289,tam,тамильский
irula,Irula,,11.4369,76.5032,irul1243,iru,ирула
malayalam,Malayalam,,8.5,77,mala1464,mal,малаялам
toda,Toda,,11.4167,76.6833,toda1252,tcx,тода
kota,Kota,,11.4154,76.8576,kota1263,kfe,кота
kodagu,Kodagu,,11.6952,75.9375,koda1255,kfa,кодагу
badaga,Badaga,,11.3818,76.7739,bada1257,bfq,бадага
kannada,Kannada,,12.9667,77.5667,nucl1305,kan,каннада
telugu,Telugu,,17.37,78.48,telu1262,tel,телугу
kolami,Kolami,,20.5093,78.1787,nort2699,kfb,колами
parji,Parji,,18.6579,82.7407,duru1236,pci,парджи
